CustomerID,Lookalikes
C0001,"[('C0152', 0.9999999922021652), ('C0174', 0.9999999889048918), ('C0148', 0.9999999720454612)]"
C0002,"[('C0159', 0.9999999940425903), ('C0134', 0.9999999489321098), ('C0106', 0.9999997794603567)]"
C0003,"[('C0129', 0.9999999926775152), ('C0091', 0.9999999707399037), ('C0031', 0.9999999645846132)]"
C0004,"[('C0012', 0.9999999997984285), ('C0148', 0.9999999924458216), ('C0163', 0.9999999822206578)]"
C0005,"[('C0140', 0.999999982160887), ('C0007', 0.9999999773626209), ('C0177', 0.9999998762227474)]"
C0006,"[('C0169', 0.9999999748318126), ('C0039', 0.999999972179456), ('C0187', 0.9999999721563556)]"
C0007,"[('C0005', 0.9999999773626209), ('C0106', 0.9999999276398371), ('C0140', 0.9999999275919053)]"
C0008,"[('C0194', 0.9999999973319407), ('C0122', 0.9999999965283556), ('C0154', 0.999999996418175)]"
C0009,"[('C0198', 0.9999998751582532), ('C0166', 0.9999991788075773), ('C0111', 0.9999990592722128)]"
C0010,"[('C0132', 0.9999999504643629), ('C0063', 0.9999998076852048), ('C0111', 0.9999997268053282)]"
C0011,"[('C0107', 0.9999999992718392), ('C0126', 0.9999999704354674), ('C0169', 0.9999999704249921)]"
C0012,"[('C0004', 0.9999999997984285), ('C0148', 0.999999989968998), ('C0102', 0.9999999810037115)]"
C0013,"[('C0155', 0.9999999989893771), ('C0099', 0.9999999986610634), ('C0087', 0.9999999984147088)]"
C0014,"[('C0110', 0.9999902933322687), ('C0080', 0.9999868417890645), ('C0144', 0.9999865235881041)]"
C0015,"[('C0131', 0.9999996776509467), ('C0036', 0.9999996460314183), ('C0157', 0.9999994746573896)]"
C0016,"[('C0183', 0.9999999942558193), ('C0122', 0.9999999724340546), ('C0109', 0.9999999717866724)]"
C0017,"[('C0057', 0.9999999991104198), ('C0053', 0.9999999986878249), ('C0170', 0.9999999982814582)]"
C0018,"[('C0117', 0.9999999660932474), ('C0109', 0.9999999571528881), ('C0148', 0.9999999559950553)]"
C0019,"[('C0070', 0.9999999642885331), ('C0074', 0.9999999204313565), ('C0044', 0.9999999124922856)]"
C0020,"[('C0144', 0.9999987570488194), ('C0094', 0.9999983372325911), ('C0095', 0.9999979069672432)]"
